,precision,recall,f1-score,support
Fair,0.43243243243243246,0.3855421686746988,0.40764331210191085,83.0
Good,0.6276595744680851,0.6941176470588235,0.659217877094972,85.0
Poor,0.6463414634146342,0.6463414634146342,0.6463414634146342,82.0
accuracy,0.576,0.576,0.576,0.576
macro avg,0.5688111567717172,0.5753337597160523,0.5710675508705058,250.0
weighted avg,0.5689718228867165,0.576,0.5714716578301249,250.0
