mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__k_neighbors,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
1.965960681438446,0.024556626171171103,0.06040221452713013,0.0025309822852988243,5,200,10,4,sqrt,18,balanced_subsample,"{'smote__k_neighbors': 5, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 18, 'model__class_weight': 'balanced_subsample'}",0.679771505376344,0.6107190860215054,0.5718552654036525,0.6181391018861273,0.6201212396719074,0.03866551381444878,1,0.9267808426565393,0.9143008064642925,0.9109382568051924,0.9233143800784402,0.9188335715011161,0.006444352515015818
2.575057327747345,0.013376194747672656,0.05981546640396118,0.00982149357945133,3,200,15,7,0.6,24,balanced_subsample,"{'smote__k_neighbors': 3, 'model__n_estimators': 200, 'model__min_samples_split': 15, 'model__min_samples_leaf': 7, 'model__max_features': 0.6, 'model__max_depth': 24, 'model__class_weight': 'balanced_subsample'}",0.6639784946236559,0.6110551075268816,0.5611879160266257,0.6401650361360832,0.6190966385783115,0.03832866012185456,2,0.8268742649083808,0.8413534459979317,0.8323664390196649,0.8343654412730582,0.8337398977997589,0.005181233560231536
1.706564724445343,0.021602031691935,0.06477099657058716,0.0009247396205941097,5,200,2,1,sqrt,8,,"{'smote__k_neighbors': 5, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__class_weight': None}",0.669018817204301,0.6266801075268816,0.5558115719406042,0.6242838885950996,0.6189485963167216,0.040563383969073614,3,0.9604378572120508,0.9712486680228616,0.9640414608156543,0.974910394265233,0.9676595950789499,0.005716203434141407
3.1836354732513428,0.037624536633743606,0.0967944860458374,0.007440191648563373,3,350,15,2,sqrt,18,balanced_subsample,"{'smote__k_neighbors': 3, 'model__n_estimators': 350, 'model__min_samples_split': 15, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 18, 'model__class_weight': 'balanced_subsample'}",0.6794354838709676,0.6160954301075269,0.566478921317631,0.6133631896703684,0.6188432562416235,0.040159131275486176,4,0.9034721429756053,0.8928780494732192,0.8894210743001065,0.9073730038094165,0.898286067639587,0.0073705928143910256
2.0455711483955383,0.02367870188493174,0.051317572593688965,0.0008871241120948642,3,350,15,2,sqrt,18,,"{'smote__k_neighbors': 3, 'model__n_estimators': 350, 'model__min_samples_split': 15, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 18, 'model__class_weight': None}",0.6849798387096774,0.6159274193548386,0.5611025772316095,0.6132750528820728,0.6188212220445496,0.044010051705466804,5,0.8981702526711817,0.8928780494732192,0.8913079410055217,0.9020435737206554,0.8960999542176445,0.0042707379131304395
12.216702461242676,0.080105994726632,0.07500666379928589,0.010667036248092633,5,700,2,1,0.8,,balanced_subsample,"{'smote__k_neighbors': 5, 'model__n_estimators': 700, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.6955645161290324,0.5793010752688171,0.5612732548216419,0.6242756257711969,0.6151036179976721,0.05181122446009533,6,1.0,1.0,1.0,1.0,1.0,0.0
8.370769500732422,0.05569355288032486,0.16255128383636475,0.009664506261941295,5,700,10,2,0.6,,,"{'smote__k_neighbors': 5, 'model__n_estimators': 700, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': None, 'model__class_weight': None}",0.6959005376344086,0.5950940860215054,0.5558115719406042,0.6133549268464658,0.615040280610746,0.05110555789874508,7,0.9571932344436989,0.9519010312457366,0.9536441683619103,0.955525530597309,0.9545659911621637,0.0019858809014641973
2.5671091079711914,0.013452307405253305,0.03694432973861694,0.0009820995135561036,5,500,15,1,log2,12,balanced_subsample,"{'smote__k_neighbors': 5, 'model__n_estimators': 500, 'model__min_samples_split': 15, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 12, 'model__class_weight': 'balanced_subsample'}",0.6743951612903226,0.647513440860215,0.5344768731865507,0.6023460911334392,0.6146828916176319,0.05298254937191002,8,0.9033864805524998,0.9142345182541095,0.9019486220091059,0.918031863986939,0.9094003712006635,0.006884168290284199
7.360787928104401,0.06952733603273673,0.12058937549591064,0.00596212241360399,3,500,15,1,0.8,8,balanced_subsample,"{'smote__k_neighbors': 3, 'model__n_estimators': 500, 'model__min_samples_split': 15, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8, 'model__class_weight': 'balanced_subsample'}",0.6959005376344086,0.5793010752688171,0.5611879160266257,0.6134430636347611,0.6124581481411532,0.05170017070912974,9,0.8838690404642103,0.8804918412754926,0.8876849631889955,0.8968079716264145,0.8872134541387782,0.006095946786913363
8.197801113128662,0.1253720175779677,0.12468457221984863,0.004206114382520895,5,500,2,1,0.8,8,balanced_subsample,"{'smote__k_neighbors': 5, 'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8, 'model__class_weight': 'balanced_subsample'}",0.690356182795699,0.5848454301075269,0.5398532172725722,0.6345242816851754,0.6123947779652434,0.056100223201745465,10,0.9766622389996821,0.974926725408063,0.9694834955923666,0.982078853046595,0.9757878282616766,0.00449521121620076
4.045331120491028,0.02806015785292883,0.127874493598938,0.003862489557874118,7,500,5,1,sqrt,24,,"{'smote__k_neighbors': 7, 'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 24, 'model__class_weight': None}",0.6851478494623656,0.594758064516129,0.5611879160266257,0.6023378283095364,0.6108579145786641,0.04560126155945031,11,1.0,1.0,0.9981981981981982,0.9964626846065793,0.9986652207011943,0.0014690598030226007
6.514126479625702,0.07539383942984833,0.17013460397720337,0.004986586521266368,5,700,2,1,log2,12,balanced_subsample,"{'smote__k_neighbors': 5, 'model__n_estimators': 700, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 12, 'model__class_weight': 'balanced_subsample'}",0.695396505376344,0.6108870967741935,0.5558969107356204,0.5810004627181385,0.6107952439010741,0.052580742316558855,12,1.0,1.0,1.0,1.0,1.0,0.0
5.271098077297211,0.054651742641527945,0.08200806379318237,0.01262236139146429,3,350,15,1,0.8,18,,"{'smote__k_neighbors': 3, 'model__n_estimators': 350, 'model__min_samples_split': 15, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 18, 'model__class_weight': None}",0.690356182795699,0.5897177419354839,0.5558969107356204,0.6031944077207826,0.6097913107968965,0.04960285338359534,13,0.9268374437602609,0.9340155896480842,0.9145321733023346,0.9252941507628215,0.9251698393683753,0.006967847498944503
4.800722002983093,0.0241801442713812,0.08871936798095703,0.0032889764133412764,5,350,10,4,0.8,24,,"{'smote__k_neighbors': 5, 'model__n_estimators': 350, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': 24, 'model__class_weight': None}",0.690524193548387,0.5794690860215054,0.5505205666495989,0.6131869160937775,0.6084251905783172,0.052331447959127385,14,0.9248948999666785,0.9233001283668401,0.9109845732829603,0.9324156955469234,0.9228988242908506,0.0076919694917608064
